TimeStamp,PLC1_InputRegisters_IW0,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC3_Coils_QX02,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW1,PLC2_MemoryRegisters_MW2,PLC2_Coils_QX00
2022-05-03 12:15:44.667,55,40,80,1,0,0,1,10,0,0,19,10,20,0
2022-05-03 12:15:45.467,57,40,80,1,0,0,1,10,0,0,19,10,20,0
2022-05-03 12:15:46.268,59,40,80,1,0,0,1,10,0,0,19,10,20,0
2022-05-03 12:15:47.068,61,40,80,1,0,0,1,10,0,0,19,10,20,0
2022-05-03 12:15:47.869,63,40,80,1,0,0,1,10,0,0,18,10,20,0
2022-05-03 12:15:48.670,65,40,80,1,0,0,1,10,0,0,18,10,20,0
2022-05-03 12:15:49.470,67,40,80,1,0,0,1,10,0,0,18,10,20,0
2022-05-03 12:15:50.271,69,40,80,1,0,0,1,10,0,0,18,10,20,0
2022-05-03 12:15:51.072,71,40,80,1,0,0,1,10,0,0,17,10,20,0
2022-05-03 12:15:51.873,73,40,80,1,0,0,1,10,0,0,17,10,20,0
2022-05-03 12:15:52.673,75,40,80,1,0,0,1,10,0,0,17,10,20,0
2022-05-03 12:15:53.474,77,40,80,1,0,0,1,10,0,0,17,10,20,0
2022-05-03 12:15:54.274,79,40,80,1,0,0,1,10,0,0,17,10,20,0
2022-05-03 12:15:55.075,80,40,80,0,0,0,1,10,0,0,16,10,20,0
2022-05-03 12:15:55.876,80,40,80,0,0,0,1,10,0,0,16,10,20,0
2022-05-03 12:15:56.676,80,40,80,0,0,0,1,10,0,0,16,10,20,0
2022-05-03 12:15:57.477,80,40,80,0,0,0,1,10,0,0,16,10,20,0
2022-05-03 12:15:58.278,80,40,80,0,0,0,1,10,0,0,15,10,20,0
2022-05-03 12:15:59.078,80,40,80,0,0,0,1,10,0,0,15,10,20,0
2022-05-03 12:15:59.879,80,40,80,0,0,0,1,10,0,0,15,10,20,0
2022-05-03 12:16:00.679,80,40,80,0,0,0,1,10,0,0,15,10,20,0
2022-05-03 12:16:01.480,80,40,80,0,0,0,1,10,0,0,14,10,20,0
2022-05-03 12:16:02.281,80,40,80,0,0,0,1,10,0,0,14,10,20,0
2022-05-03 12:16:03.082,80,40,80,0,0,0,1,10,0,0,14,10,20,0
2022-05-03 12:16:03.882,80,40,80,0,0,0,1,10,0,0,14,10,20,0
2022-05-03 12:16:04.683,80,40,80,0,0,0,1,10,0,0,14,10,20,0
2022-05-03 12:16:05.483,80,40,80,0,0,0,1,10,0,0,13,10,20,0
2022-05-03 12:16:06.284,80,40,80,0,0,0,1,10,0,0,13,10,20,0
2022-05-03 12:16:07.085,80,40,80,0,0,0,1,10,0,0,13,10,20,0
2022-05-03 12:16:07.885,80,40,80,0,0,0,1,10,0,0,13,10,20,0
2022-05-03 12:16:08.786,80,40,80,0,0,0,1,10,0,0,13,10,20,0
2022-05-03 12:16:09.589,80,40,80,0,0,0,1,10,0,0,12,10,20,0
2022-05-03 12:16:10.389,80,40,80,0,0,0,1,10,0,0,12,10,20,0
2022-05-03 12:16:11.191,80,40,80,0,0,0,1,10,0,0,12,10,20,0
2022-05-03 12:16:11.990,80,40,80,0,0,0,1,10,0,0,12,10,20,0
2022-05-03 12:16:12.789,80,40,80,0,0,0,1,10,0,0,12,10,20,0
2022-05-03 12:16:13.591,80,40,80,0,0,0,1,10,0,0,11,10,20,0
2022-05-03 12:16:14.391,80,40,80,0,0,0,1,10,0,0,11,10,20,0
2022-05-03 12:16:15.191,80,40,80,0,0,0,1,10,0,0,11,10,20,0
2022-05-03 12:16:15.992,80,40,80,0,0,0,1,10,0,0,11,10,20,0
2022-05-03 12:16:16.793,80,40,80,0,0,0,1,10,0,0,11,10,20,0
2022-05-03 12:16:17.594,80,40,80,0,0,1,1,10,0,0,10,10,20,1
2022-05-03 12:16:18.394,79,40,80,0,1,1,1,10,0,0,11,10,20,1
2022-05-03 12:16:19.195,77,40,80,0,1,1,1,10,0,0,12,10,20,1
2022-05-03 12:16:19.995,75,40,80,0,1,1,1,10,0,0,12,10,20,1
2022-05-03 12:16:20.796,74,40,80,0,1,1,1,10,0,0,13,10,20,1
2022-05-03 12:16:21.597,72,40,80,0,1,1,1,10,0,0,14,10,20,1
2022-05-03 12:16:22.397,70,40,80,0,1,1,1,10,0,0,14,10,20,1
2022-05-03 12:16:23.198,68,40,80,0,1,1,1,10,0,0,15,10,20,1
2022-05-03 12:16:23.999,67,40,80,0,1,1,1,10,0,0,16,10,20,1
2022-05-03 12:16:24.800,65,40,80,0,1,1,1,10,0,0,16,10,20,1
2022-05-03 12:16:25.601,63,40,80,0,1,1,1,10,0,0,17,10,20,1
2022-05-03 12:16:26.401,62,40,80,0,1,1,1,10,0,0,17,10,20,1
